brand,model,year,price,mileage,fuel_type,transmission,engine_capacity,body_type,location,condition,seller_type,color,features_count,vehicle_age,tax_era,brand_category,fuel_efficiency,price_per_km,is_popular_model
Toyota,Aqua,2015,1505789,82870,Petrol,Automatic,1300,Hatchback,Anuradhapura,Used,Individual,White,9,9,Low Tax Era,Standard,Medium,18.17,1
Suzuki,Wagon R,2019,1755945,64217,Petrol,Automatic,660,Hatchback,Gampaha,Used,Dealer,White,16,5,Medium Tax Era,Standard,Medium,27.34,1
KIA,Rio,2016,1231655,83732,Petrol,Automatic,1800,Van,Colombo,Used,Individual,White,5,8,Medium Tax Era,Standard,Low,14.71,0
Toyota,Corolla,2018,3268388,69009,Hybrid,Automatic,1000,Sedan,Kandy,Reconditioned,Dealer,Silver,24,6,Medium Tax Era,Standard,High,47.36,0
Toyota,Axio,2018,2901256,40155,Hybrid,Automatic,1800,Sedan,Matara,Used,Individual,Silver,8,6,Medium Tax Era,Standard,High,72.25,1
Toyota,Premio,2009,669170,189869,Diesel,Manual,1000,Sedan,Ratnapura,Reconditioned,Dealer,White,5,15,Low Tax Era,Standard,Medium,3.52,0
Toyota,Prius,2016,2169055,42597,Petrol,Automatic,1500,SUV,Colombo,Reconditioned,Individual,White,18,8,Medium Tax Era,Standard,Low,50.92,1
Toyota,Corolla,2014,1928067,95282,Hybrid,Automatic,1800,Sedan,Batticaloa,Used,Dealer,White,23,10,Low Tax Era,Standard,High,20.24,0
Toyota,Vitz,2011,928547,242727,Petrol,Automatic,1000,Hatchback,Gampaha,Used,Dealer,White,18,13,Low Tax Era,Standard,Medium,3.83,0
Toyota,Allion,2020,3606783,29849,Hybrid,Automatic,1000,Sedan,Kurunegala,Reconditioned,Individual,Blue,20,4,High Tax Era,Standard,High,120.83,0
Honda,Accord,2019,3010460,107028,Hybrid,Automatic,1800,Wagon,Colombo,Used,Individual,Brown,8,5,Medium Tax Era,Standard,High,28.13,0
Toyota,Aqua,2009,675533,112174,Petrol,Manual,1000,Hatchback,Colombo,Used,Individual,Gold,10,15,Low Tax Era,Standard,Medium,6.02,1
Nissan,Caravan,2018,1617859,83355,Petrol,Automatic,2000,Van,Gampaha,Reconditioned,Individual,Black,13,6,Medium Tax Era,Standard,Low,19.41,0
Honda,Freed,2020,3131542,43369,Diesel,Automatic,1300,Van,Colombo,Reconditioned,Individual,Black,17,4,High Tax Era,Standard,Medium,72.21,0
Toyota,Axio,2016,1897007,103315,Petrol,Automatic,1000,Sedan,Colombo,Used,Individual,White,11,8,Medium Tax Era,Standard,Medium,18.36,1
Honda,Freed,2015,1747943,105333,Electric,Automatic,0,Van,Kurunegala,Used,Individual,White,11,9,Low Tax Era,Standard,Very High,16.59,0
Toyota,Axio,2016,1805777,99518,Petrol,Automatic,1800,Sedan,Anuradhapura,Reconditioned,Dealer,White,20,8,Medium Tax Era,Standard,Low,18.15,1
Nissan,Caravan,2019,2206690,77383,Hybrid,Automatic,2000,Van,Colombo,Reconditioned,Dealer,White,8,5,Medium Tax Era,Standard,High,28.52,0
Suzuki,Alto,2011,516927,114542,Petrol,Manual,660,Hatchback,Gampaha,Used,Dealer,Black,13,13,Low Tax Era,Standard,Medium,4.51,1
KIA,Cerato,2008,609535,150194,Diesel,Automatic,1800,SUV,Colombo,Reconditioned,Dealer,White,20,16,Low Tax Era,Standard,Low,4.06,0
Mitsubishi,Outlander,2015,1635070,42282,Hybrid,Automatic,1300,SUV,Matara,Reconditioned,Individual,Black,10,9,Low Tax Era,Standard,High,38.67,0
Honda,Grace,2015,1626748,76268,Petrol,Automatic,1300,Sedan,Colombo,Used,Individual,Black,16,9,Low Tax Era,Standard,Medium,21.33,0
Suzuki,Ertiga,2020,1982962,25233,Diesel,Automatic,1800,Sedan,Galle,Used,Individual,Silver,9,4,High Tax Era,Standard,Low,78.58,0
Toyota,Allion,2014,1513706,197961,Hybrid,Automatic,1500,Sedan,Matara,Used,Dealer,White,9,10,Low Tax Era,Standard,High,7.65,0
Mazda,CX-5,2017,1960953,57438,Hybrid,Automatic,2000,SUV,Batticaloa,Used,Individual,White,18,7,Medium Tax Era,Standard,High,34.14,0
Suzuki,Alto,2015,1168950,58693,Hybrid,Automatic,800,Hatchback,Matara,Used,Individual,Black,7,9,Low Tax Era,Standard,High,19.92,1
Honda,Civic,2017,1682317,65372,Petrol,Manual,1800,Sedan,Batticaloa,Used,Dealer,Green,13,7,Medium Tax Era,Standard,Low,25.73,0
Suzuki,Spacia,2013,698896,130098,Diesel,Manual,2000,SUV,Galle,Used,Dealer,White,15,11,Low Tax Era,Standard,Low,5.37,0
Toyota,Vezel,2023,5582165,5504,Hybrid,Automatic,1500,SUV,Negombo,Used,Individual,White,23,1,High Tax Era,Standard,High,1014.02,1
Suzuki,Hustler,2020,2240344,50428,Hybrid,Automatic,1500,Wagon,Gampaha,Used,Individual,White,15,4,High Tax Era,Standard,High,44.43,0
Toyota,Vezel,2014,1104820,146093,Petrol,Manual,1500,SUV,Batticaloa,Used,Individual,Grey,8,10,Low Tax Era,Standard,Low,7.56,1
Toyota,Vezel,2016,2412760,91098,Hybrid,Automatic,1300,SUV,Anuradhapura,Reconditioned,Individual,Black,19,8,Medium Tax Era,Standard,High,26.49,1
Honda,Insight,2016,1596583,88456,Petrol,Automatic,1000,Sedan,Colombo,Used,Individual,White,9,8,Medium Tax Era,Standard,Medium,18.05,0
Honda,City,2018,2548964,67103,Electric,Automatic,0,SUV,Colombo,Reconditioned,Individual,Black,6,6,Medium Tax Era,Standard,Very High,37.99,0
Nissan,X-Trail,2021,3127838,42810,Electric,Automatic,0,SUV,Gampaha,Reconditioned,Individual,Red,9,3,High Tax Era,Standard,Very High,73.06,0
Toyota,Vezel,2021,3794884,22295,Hybrid,Manual,1500,SUV,Colombo,Used,Individual,White,8,3,High Tax Era,Standard,High,170.2,1
Toyota,Axio,2017,2520033,81869,Hybrid,Manual,1300,Sedan,Colombo,Used,Dealer,Silver,21,7,Medium Tax Era,Standard,High,30.78,1
Mitsubishi,ASX,2010,634178,191041,Diesel,Automatic,1800,Hatchback,Matara,Used,Dealer,Black,11,14,Low Tax Era,Standard,Low,3.32,0
Toyota,Corolla,2013,1467558,246668,Hybrid,Automatic,1000,Sedan,Colombo,Reconditioned,Dealer,Grey,14,11,Low Tax Era,Standard,High,5.95,0
Honda,Civic,2017,1722880,52145,Petrol,Automatic,1800,Sedan,Gampaha,Used,Dealer,White,12,7,Medium Tax Era,Standard,Low,33.04,0
Suzuki,Spacia,2020,2438368,22927,Hybrid,Automatic,1800,Sedan,Colombo,Used,Individual,White,10,4,High Tax Era,Standard,High,106.35,0
Honda,Accord,2008,593856,160811,Diesel,Automatic,1500,Sedan,Gampaha,Used,Dealer,White,8,16,Low Tax Era,Standard,Low,3.69,0
Hyundai,Santa Fe,2020,2221521,59452,Petrol,Automatic,2000,Sedan,Jaffna,Reconditioned,Dealer,White,15,4,High Tax Era,Standard,Low,37.37,0
BMW,X3,2011,1575188,173635,Diesel,Automatic,3500,Van,Kurunegala,Reconditioned,Individual,Black,20,13,Low Tax Era,Luxury,Low,9.07,0
Mazda,Atenza,2016,1337079,45355,Petrol,Manual,2000,Hatchback,Kandy,Used,Dealer,Black,10,8,Medium Tax Era,Standard,Low,29.48,0
KIA,Sportage,2019,1924985,97505,Diesel,Manual,1800,Hatchback,Batticaloa,Reconditioned,Individual,Silver,5,5,Medium Tax Era,Standard,Low,19.74,0
Toyota,Axio,2018,1935502,66672,Petrol,Automatic,1800,Sedan,Negombo,Used,Individual,Brown,6,6,Medium Tax Era,Standard,Low,29.03,1
Toyota,Camry,2009,688385,247093,Petrol,Manual,1000,Sedan,Galle,Reconditioned,Dealer,White,20,15,Low Tax Era,Standard,Medium,2.79,0
Suzuki,Alto,2020,1826297,47245,Petrol,Automatic,800,Hatchback,Colombo,Used,Individual,White,5,4,High Tax Era,Standard,Medium,38.66,1
Toyota,Corolla,2015,1821351,86607,Hybrid,Automatic,2000,Sedan,Jaffna,Reconditioned,Individual,Grey,5,9,Low Tax Era,Standard,High,21.03,0
Toyota,Vitz,2012,1217181,170306,Hybrid,Manual,1300,Hatchback,Ratnapura,Used,Individual,White,12,12,Low Tax Era,Standard,High,7.15,0
Mitsubishi,Pajero,2017,1639147,101215,Petrol,Automatic,1500,Hatchback,Colombo,Used,Dealer,Red,17,7,Medium Tax Era,Standard,Low,16.19,0
Benz,A-Class,2015,3020102,114218,Hybrid,Manual,3000,Sedan,Negombo,Reconditioned,Individual,White,9,9,Low Tax Era,Luxury,High,26.44,0
Toyota,Vezel,2011,945029,238117,Petrol,Automatic,2000,SUV,Batticaloa,Reconditioned,Dealer,Brown,22,13,Low Tax Era,Standard,Low,3.97,1
Toyota,Axio,2012,1153579,123527,Petrol,Automatic,1000,Sedan,Batticaloa,Used,Individual,Black,16,12,Low Tax Era,Standard,Medium,9.34,1
Toyota,Axio,2016,2608809,113402,Electric,Automatic,0,Sedan,Kandy,Used,Dealer,White,22,8,Medium Tax Era,Standard,Very High,23,1
Toyota,Axio,2018,2580714,68001,Hybrid,Automatic,1300,Sedan,Gampaha,Reconditioned,Dealer,Red,8,6,Medium Tax Era,Standard,High,37.95,1
Honda,City,2019,2734811,95388,Hybrid,Automatic,1300,Van,Kalutara,Used,Individual,Silver,14,5,Medium Tax Era,Standard,High,28.67,0
Mazda,Atenza,2013,1046606,161050,Petrol,Automatic,2000,Wagon,Gampaha,Used,Individual,Brown,23,11,Low Tax Era,Standard,Low,6.5,0
Suzuki,Celerio,2015,1048782,49171,Petrol,Automatic,1500,Sedan,Gampaha,Used,Dealer,Green,24,9,Low Tax Era,Standard,Low,21.33,0
Suzuki,Wagon R,2013,836890,95417,Hybrid,Manual,1000,Hatchback,Colombo,Used,Individual,White,21,11,Low Tax Era,Standard,High,8.77,1
Honda,Fit,2021,4277635,27996,Hybrid,Automatic,2000,Hatchback,Ratnapura,Used,Individual,Black,19,3,High Tax Era,Standard,High,152.79,1
Mazda,CX-3,2015,1462783,42179,Hybrid,Manual,1300,Van,Gampaha,Used,Individual,Silver,18,9,Low Tax Era,Standard,High,34.68,0
Toyota,Allion,2014,1725376,180772,Hybrid,Automatic,1500,Sedan,Gampaha,Reconditioned,Dealer,Red,14,10,Low Tax Era,Standard,High,9.54,0
Suzuki,Wagon R,2016,873914,47415,Petrol,Manual,1000,Hatchback,Ratnapura,Used,Individual,Black,10,8,Medium Tax Era,Standard,Medium,18.43,1
BMW,530i,2013,2039365,165076,Diesel,Automatic,2500,Coupe,Batticaloa,Reconditioned,Individual,Silver,19,11,Low Tax Era,Luxury,Low,12.35,0
Nissan,March,2014,985101,246589,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Dealer,Blue,11,10,Low Tax Era,Standard,High,3.99,0
Nissan,X-Trail,2017,1669330,55088,Diesel,Automatic,1300,SUV,Colombo,Reconditioned,Dealer,Silver,15,7,Medium Tax Era,Standard,Medium,30.3,0
Suzuki,Wagon R,2017,1425500,118958,Hybrid,Automatic,800,Hatchback,Negombo,Reconditioned,Individual,Green,6,7,Medium Tax Era,Standard,High,11.98,1
Nissan,Note,2019,2066234,105942,Petrol,Manual,1000,Sedan,Colombo,Used,Individual,White,24,5,Medium Tax Era,Standard,Medium,19.5,0
Mazda,Axela,2018,1988423,40174,Diesel,Automatic,1000,SUV,Galle,Used,Individual,Brown,21,6,Medium Tax Era,Standard,Medium,49.49,0
Mazda,Mazda 3,2018,2110082,90445,Hybrid,Automatic,1500,Wagon,Galle,Reconditioned,Dealer,White,5,6,Medium Tax Era,Standard,High,23.33,0
Suzuki,Ertiga,2012,799233,147391,Hybrid,Manual,1500,SUV,Colombo,Reconditioned,Individual,White,23,12,Low Tax Era,Standard,High,5.42,0
Toyota,Vezel,2021,3854270,26889,Hybrid,Manual,1300,SUV,Colombo,Used,Individual,White,15,3,High Tax Era,Standard,High,143.33,1
Suzuki,Spacia,2014,815087,221880,Hybrid,Automatic,1500,Sedan,Kandy,Used,Dealer,White,6,10,Low Tax Era,Standard,High,3.67,0
Suzuki,Wagon R,2018,1990175,43765,Hybrid,Automatic,1000,Hatchback,Ratnapura,Used,Individual,White,22,6,Medium Tax Era,Standard,High,45.47,1
KIA,Sorento,2016,1457707,95312,Petrol,Automatic,1800,Coupe,Colombo,Used,Dealer,White,21,8,Medium Tax Era,Standard,Low,15.29,0
Toyota,Camry,2016,2114262,119650,Petrol,Automatic,1300,Sedan,Colombo,Reconditioned,Dealer,White,19,8,Medium Tax Era,Standard,Medium,17.67,0
Toyota,Vitz,2018,2632956,101842,Hybrid,Automatic,2000,Hatchback,Batticaloa,Used,Individual,Silver,5,6,Medium Tax Era,Standard,High,25.85,0
Honda,Vezel,2014,1196614,131707,Petrol,Automatic,1500,SUV,Colombo,Used,Dealer,Red,20,10,Low Tax Era,Standard,Low,9.09,1
Nissan,Caravan,2018,1810187,95276,Diesel,Automatic,1800,Van,Galle,Reconditioned,Dealer,White,13,6,Medium Tax Era,Standard,Low,19,0
Toyota,Vitz,2022,5231942,58664,Hybrid,Automatic,1300,Hatchback,Ratnapura,Used,Dealer,Black,19,2,High Tax Era,Standard,High,89.18,0
Suzuki,Swift,2008,500000,241015,Petrol,Automatic,1000,Hatchback,Negombo,Used,Individual,White,19,16,Low Tax Era,Standard,Medium,2.07,1
Toyota,Aqua,2013,1643340,85039,Electric,Automatic,0,Hatchback,Colombo,Used,Dealer,Silver,20,11,Low Tax Era,Standard,Very High,19.32,1
KIA,Picanto,2016,1650886,83326,Hybrid,Automatic,1300,Coupe,Negombo,Reconditioned,Individual,White,14,8,Medium Tax Era,Standard,High,19.81,0
Toyota,Corolla,2014,1209896,165947,Diesel,Manual,1000,Sedan,Ratnapura,Used,Individual,Grey,10,10,Low Tax Era,Standard,Medium,7.29,0
Suzuki,Hustler,2012,668598,153233,Hybrid,Automatic,1500,Hatchback,Gampaha,Used,Individual,White,8,12,Low Tax Era,Standard,High,4.36,0
Toyota,Axio,2015,1969399,96704,Electric,Automatic,0,Sedan,Ratnapura,Used,Dealer,Red,7,9,Low Tax Era,Standard,Very High,20.37,1
Honda,Vezel,2019,2673147,42187,Petrol,Automatic,1000,SUV,Gampaha,Used,Dealer,Red,18,5,Medium Tax Era,Standard,Medium,63.36,1
Hyundai,Elantra,2017,1659532,106736,Hybrid,Manual,1000,Sedan,Gampaha,Used,Dealer,Black,13,7,Medium Tax Era,Standard,High,15.55,0
Honda,Fit,2014,1345704,96322,Diesel,Automatic,1000,Hatchback,Negombo,Used,Individual,Silver,19,10,Low Tax Era,Standard,Medium,13.97,1
Suzuki,Celerio,2008,500000,203364,Diesel,Automatic,1000,Coupe,Colombo,Used,Dealer,White,14,16,Low Tax Era,Standard,Medium,2.46,0
Honda,Grace,2016,1538681,109166,Diesel,Automatic,1800,Sedan,Batticaloa,Used,Individual,Red,5,8,Medium Tax Era,Standard,Low,14.09,0
Honda,City,2019,2167603,70049,Diesel,Manual,1300,Wagon,Colombo,Used,Dealer,White,11,5,Medium Tax Era,Standard,Medium,30.94,0
Honda,City,2011,801774,210841,Diesel,Automatic,1000,Wagon,Kurunegala,Reconditioned,Dealer,Silver,7,13,Low Tax Era,Standard,Medium,3.8,0
Honda,Accord,2018,2127703,49359,Petrol,Automatic,1000,Wagon,Jaffna,Reconditioned,Individual,White,13,6,Medium Tax Era,Standard,Medium,43.11,0
Suzuki,Swift,2020,2123440,44100,Hybrid,Automatic,1000,Hatchback,Anuradhapura,Reconditioned,Individual,White,10,4,High Tax Era,Standard,High,48.15,1
Suzuki,Hustler,2020,1992241,45835,Hybrid,Automatic,1300,Wagon,Kandy,Reconditioned,Dealer,Silver,7,4,High Tax Era,Standard,High,43.46,0
Suzuki,Ertiga,2017,1327438,67197,Diesel,Automatic,1500,Hatchback,Kalutara,Used,Individual,Blue,21,7,Medium Tax Era,Standard,Low,19.75,0
Honda,Grace,2019,2313838,118542,Petrol,Automatic,1000,Sedan,Ratnapura,Used,Dealer,Blue,24,5,Medium Tax Era,Standard,Medium,19.52,0
Honda,Accord,2018,1963120,75931,Petrol,Manual,2000,Hatchback,Ratnapura,Reconditioned,Dealer,Silver,8,6,Medium Tax Era,Standard,Low,25.85,0
Suzuki,Spacia,2012,819424,198028,Hybrid,Automatic,1500,Sedan,Colombo,Used,Individual,Brown,16,12,Low Tax Era,Standard,High,4.14,0
Honda,Grace,2018,1979083,112075,Diesel,Automatic,1000,Sedan,Negombo,Used,Individual,Brown,5,6,Medium Tax Era,Standard,Medium,17.66,0
Mitsubishi,Mirage,2018,2335752,106458,Hybrid,Automatic,2000,Van,Batticaloa,Used,Dealer,Red,24,6,Medium Tax Era,Standard,High,21.94,0
Suzuki,Wagon R,2016,1191895,106629,Diesel,Manual,1000,Hatchback,Colombo,Used,Dealer,White,18,8,Medium Tax Era,Standard,Medium,11.18,1
Toyota,CH-R,2023,5162520,13017,Petrol,Automatic,1000,SUV,Colombo,Used,Individual,Green,15,1,High Tax Era,Standard,Medium,396.57,0
Mitsubishi,Mirage,2020,2801181,52228,Hybrid,Automatic,2000,Wagon,Colombo,Used,Individual,Red,15,4,High Tax Era,Standard,High,53.63,0
Toyota,Premio,2013,1110397,244005,Petrol,Manual,1000,Sedan,Colombo,Reconditioned,Dealer,Silver,7,11,Low Tax Era,Standard,Medium,4.55,0
Suzuki,Every,2017,1372468,116312,Petrol,Automatic,1500,Van,Negombo,Used,Individual,White,23,7,Medium Tax Era,Standard,Low,11.8,0
Suzuki,Alto,2014,905330,202564,Hybrid,Automatic,660,Hatchback,Kurunegala,Reconditioned,Dealer,Red,18,10,Low Tax Era,Standard,High,4.47,1
Suzuki,Alto,2015,962503,103185,Petrol,Manual,660,Hatchback,Kurunegala,Used,Dealer,White,23,9,Low Tax Era,Standard,Medium,9.33,1
Mitsubishi,Outlander,2012,970304,221013,Hybrid,Automatic,1300,SUV,Ratnapura,Used,Dealer,Silver,16,12,Low Tax Era,Standard,High,4.39,0
Honda,Freed,2016,1962237,43255,Electric,Manual,0,Van,Matara,Used,Dealer,White,15,8,Medium Tax Era,Standard,Very High,45.36,0
Suzuki,Spacia,2018,1962645,45021,Electric,Automatic,0,Coupe,Colombo,Reconditioned,Dealer,Grey,20,6,Medium Tax Era,Standard,Very High,43.59,0
Mitsubishi,Outlander,2023,3466254,2759,Petrol,Automatic,1000,SUV,Jaffna,Used,Individual,White,11,1,High Tax Era,Standard,Medium,1255.89,0
Suzuki,Wagon R,2020,2098109,47093,Diesel,Automatic,800,Hatchback,Colombo,Used,Individual,Black,10,4,High Tax Era,Standard,Medium,44.55,1
Toyota,Premio,2016,1877635,97124,Hybrid,Manual,1800,Sedan,Matara,Used,Individual,White,14,8,Medium Tax Era,Standard,High,19.33,0
Suzuki,Every,2014,697500,215203,Petrol,Manual,1300,Van,Jaffna,Used,Individual,White,6,10,Low Tax Era,Standard,Medium,3.24,0
Nissan,X-Trail,2019,2523217,50692,Hybrid,Automatic,1500,SUV,Colombo,Used,Dealer,Black,14,5,Medium Tax Era,Standard,High,49.77,0
Toyota,Vezel,2015,2136951,110744,Hybrid,Automatic,1000,SUV,Gampaha,Reconditioned,Individual,Blue,21,9,Low Tax Era,Standard,High,19.3,1
Hyundai,Tucson,2012,873751,134353,Hybrid,Automatic,1800,SUV,Matara,Used,Individual,Grey,22,12,Low Tax Era,Standard,High,6.5,0
Honda,Vezel,2019,2235879,75303,Petrol,Manual,2000,SUV,Negombo,Used,Individual,Grey,8,5,Medium Tax Era,Standard,Low,29.69,1
Hyundai,Accent,2018,2105055,43262,Hybrid,Automatic,1500,Van,Kandy,Used,Dealer,Silver,10,6,Medium Tax Era,Standard,High,48.66,0
Honda,Fit,2019,3139590,51874,Electric,Manual,0,Hatchback,Negombo,Used,Dealer,White,24,5,Medium Tax Era,Standard,Very High,60.52,1
Toyota,Premio,2020,3540197,34942,Hybrid,Automatic,2000,Sedan,Matara,Reconditioned,Dealer,Red,8,4,High Tax Era,Standard,High,101.31,0
Suzuki,Wagon R,2014,916572,183751,Electric,Automatic,0,Hatchback,Colombo,Used,Individual,Brown,11,10,Low Tax Era,Standard,Very High,4.99,1
Nissan,Tiida,2012,881070,173185,Hybrid,Automatic,2000,Hatchback,Matara,Used,Individual,White,20,12,Low Tax Era,Standard,High,5.09,0
Suzuki,Hustler,2018,1661063,71923,Hybrid,Automatic,1800,Coupe,Kandy,Used,Dealer,White,7,6,Medium Tax Era,Standard,High,23.09,0
Toyota,Aqua,2019,3234704,118840,Hybrid,Automatic,1800,Hatchback,Matara,Used,Individual,Red,15,5,Medium Tax Era,Standard,High,27.22,1
Toyota,Camry,2018,2544984,109460,Hybrid,Manual,1300,Sedan,Ratnapura,Used,Individual,White,21,6,Medium Tax Era,Standard,High,23.25,0
Toyota,Aqua,2014,1571553,138817,Hybrid,Manual,1800,Hatchback,Kurunegala,Used,Individual,White,10,10,Low Tax Era,Standard,High,11.32,1
KIA,Rio,2015,1319104,117475,Electric,Automatic,0,Sedan,Kurunegala,Reconditioned,Dealer,White,7,9,Low Tax Era,Standard,Very High,11.23,0
Toyota,Aqua,2010,720128,243623,Petrol,Manual,1300,Hatchback,Colombo,Reconditioned,Individual,White,16,14,Low Tax Era,Standard,Medium,2.96,1
Toyota,Corolla,2021,3114238,20698,Petrol,Automatic,1300,Sedan,Kurunegala,Reconditioned,Individual,White,9,3,High Tax Era,Standard,Medium,150.45,0
Hyundai,i10,2008,500000,223464,Petrol,Automatic,1300,Hatchback,Anuradhapura,Reconditioned,Individual,Silver,5,16,Low Tax Era,Standard,Medium,2.24,0
Nissan,Note,2014,1126375,191576,Hybrid,Manual,2000,Coupe,Colombo,Used,Dealer,Gold,18,10,Low Tax Era,Standard,High,5.88,0
Suzuki,Every,2017,1388633,100281,Hybrid,Manual,1800,Van,Kurunegala,Reconditioned,Dealer,Blue,12,7,Medium Tax Era,Standard,High,13.85,0
KIA,Sorento,2017,1486159,47347,Petrol,Automatic,2000,Wagon,Colombo,Used,Individual,White,10,7,Medium Tax Era,Standard,Low,31.39,0
Toyota,Prius,2018,2388549,54011,Hybrid,Manual,1800,Van,Ratnapura,Reconditioned,Dealer,Silver,13,6,Medium Tax Era,Standard,High,44.22,1
Mitsubishi,Montero,2010,595086,212659,Petrol,Automatic,2000,Sedan,Galle,Used,Individual,Blue,21,14,Low Tax Era,Standard,Low,2.8,0
KIA,Sportage,2014,992968,139993,Petrol,Manual,2000,Coupe,Colombo,Used,Individual,Silver,17,10,Low Tax Era,Standard,Low,7.09,0
Toyota,Axio,2008,689816,224341,Petrol,Automatic,1300,Sedan,Kandy,Used,Individual,White,22,16,Low Tax Era,Standard,Medium,3.07,1
Honda,Freed,2020,2510602,29719,Petrol,Automatic,1500,Van,Negombo,Used,Dealer,White,7,4,High Tax Era,Standard,Low,84.48,0
Mazda,CX-3,2015,1272556,90225,Petrol,Automatic,2000,Coupe,Kurunegala,Reconditioned,Individual,Black,8,9,Low Tax Era,Standard,Low,14.1,0
Toyota,Allion,2015,2137737,45313,Hybrid,Automatic,1500,Sedan,Gampaha,Used,Dealer,White,16,9,Low Tax Era,Standard,High,47.18,0
Honda,Fit,2014,1313342,99229,Hybrid,Automatic,2000,Hatchback,Gampaha,Reconditioned,Individual,Grey,9,10,Low Tax Era,Standard,High,13.24,1
Hyundai,Accent,2015,1233787,92227,Hybrid,Automatic,1300,Hatchback,Galle,Used,Individual,Brown,10,9,Low Tax Era,Standard,High,13.38,0
Toyota,Axio,2019,2866812,110442,Electric,Manual,0,Sedan,Negombo,Used,Individual,Silver,10,5,Medium Tax Era,Standard,Very High,25.96,1
Toyota,Vitz,2019,3074096,67386,Hybrid,Manual,1800,Hatchback,Negombo,Reconditioned,Individual,Brown,14,5,Medium Tax Era,Standard,High,45.62,0
Toyota,Allion,2017,2219796,117853,Hybrid,Automatic,1000,Sedan,Negombo,Reconditioned,Dealer,White,13,7,Medium Tax Era,Standard,High,18.84,0
Toyota,Prius,2010,736140,118346,Petrol,Manual,2000,Sedan,Jaffna,Used,Dealer,Black,15,14,Low Tax Era,Standard,Low,6.22,1
Toyota,Axio,2009,647031,81881,Diesel,Manual,1500,Sedan,Colombo,Used,Dealer,Black,11,15,Low Tax Era,Standard,Low,7.9,1
Toyota,Vezel,2020,3302745,27205,Petrol,Automatic,2000,SUV,Matara,Reconditioned,Individual,White,12,4,High Tax Era,Standard,Low,121.4,1
Toyota,Vitz,2014,1359360,174283,Petrol,Automatic,1300,Hatchback,Jaffna,Reconditioned,Dealer,Red,19,10,Low Tax Era,Standard,Medium,7.8,0
Suzuki,Swift,2013,744854,214164,Hybrid,Manual,1800,Hatchback,Negombo,Used,Individual,Black,20,11,Low Tax Era,Standard,High,3.48,1
Mitsubishi,ASX,2015,1036240,104140,Petrol,Manual,1800,Coupe,Gampaha,Used,Individual,White,10,9,Low Tax Era,Standard,Low,9.95,0
Honda,Fit,2012,924960,121347,Petrol,Automatic,1500,Hatchback,Negombo,Used,Individual,White,14,12,Low Tax Era,Standard,Low,7.62,1
Suzuki,Hustler,2022,2407028,58485,Diesel,Automatic,2000,Wagon,Batticaloa,Used,Dealer,Black,14,2,High Tax Era,Standard,Low,41.16,0
Toyota,Aqua,2016,2379490,54758,Electric,Automatic,0,Hatchback,Galle,Reconditioned,Dealer,White,22,8,Medium Tax Era,Standard,Very High,43.45,1
Suzuki,Swift,2023,3664554,820,Hybrid,Automatic,1300,Hatchback,Galle,Used,Individual,White,22,1,High Tax Era,Standard,High,4463.52,1
Mazda,CX-5,2012,1134569,95216,Electric,Manual,0,SUV,Colombo,Used,Individual,White,14,12,Low Tax Era,Standard,Very High,11.92,0
Toyota,Vezel,2019,2527062,91502,Petrol,Automatic,1000,SUV,Colombo,Reconditioned,Dealer,White,6,5,Medium Tax Era,Standard,Medium,27.62,1
Toyota,Camry,2008,606174,233263,Petrol,Automatic,1000,Sedan,Negombo,Reconditioned,Individual,Silver,18,16,Low Tax Era,Standard,Medium,2.6,0
Mitsubishi,Mirage,2017,1596955,107708,Petrol,Automatic,2000,Hatchback,Matara,Used,Dealer,White,10,7,Medium Tax Era,Standard,Low,14.83,0
Toyota,Allion,2017,2071212,67564,Hybrid,Manual,1500,Sedan,Ratnapura,Used,Individual,Brown,12,7,Medium Tax Era,Standard,High,30.66,0
Suzuki,Spacia,2018,1903199,98255,Electric,Automatic,0,Wagon,Colombo,Used,Individual,Blue,19,6,Medium Tax Era,Standard,Very High,19.37,0
Toyota,Allion,2018,2938142,96063,Hybrid,Automatic,1000,Sedan,Gampaha,Used,Dealer,White,12,6,Medium Tax Era,Standard,High,30.59,0
Mitsubishi,Mirage,2016,1756063,56709,Hybrid,Automatic,1300,Wagon,Colombo,Reconditioned,Individual,Black,16,8,Medium Tax Era,Standard,High,30.97,0
Toyota,Vitz,2016,1866915,89052,Petrol,Automatic,1800,Hatchback,Matara,Used,Individual,White,21,8,Medium Tax Era,Standard,Low,20.96,0
Mazda,CX-3,2018,2661907,109280,Hybrid,Automatic,1500,Van,Negombo,Reconditioned,Dealer,Grey,23,6,Medium Tax Era,Standard,High,24.36,0
Honda,Insight,2018,2204866,92664,Petrol,Automatic,2000,Wagon,Colombo,Reconditioned,Individual,Gold,20,6,Medium Tax Era,Standard,Low,23.79,0
Toyota,Corolla,2010,699652,166226,Diesel,Manual,1500,Sedan,Matara,Used,Individual,Black,10,14,Low Tax Era,Standard,Low,4.21,0
Toyota,Camry,2012,1114380,223687,Hybrid,Manual,1500,Sedan,Batticaloa,Reconditioned,Dealer,Red,16,12,Low Tax Era,Standard,High,4.98,0
KIA,Cerato,2014,1118762,171404,Hybrid,Manual,1000,Van,Gampaha,Reconditioned,Dealer,Black,15,10,Low Tax Era,Standard,High,6.53,0
